Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1247427012,NQU5,08/18/2025 11:13:09 -05:00,08/18/2025 11:30:29 -05:00,23761.500000000,23772.750000000,2.80000,-225.000000000,1,Short,08/18/2025 00:00:00 -05:00,00:17:19.5274600,
1247783548,NQU5,08/18/2025 11:53:53 -05:00,08/18/2025 12:30:34 -05:00,23736.500000000,23778.250000000,2.80000,-835.000000000,1,Short,08/18/2025 00:00:00 -05:00,00:36:40.9663710,
1247986989,NQU5,08/18/2025 12:59:39 -05:00,08/18/2025 13:06:49 -05:00,23760.750000000,23764.500000000,2.80000,-75.000000000,1,Short,08/18/2025 00:00:00 -05:00,00:07:10.3688490,
1248206810,NQU5,08/18/2025 13:07:07 -05:00,08/18/2025 13:57:42 -05:00,23761.750000000,23799.750000000,2.80000,760.000000000,1,Long,08/18/2025 00:00:00 -05:00,00:50:35.3178760,
1261982467,NQU5,08/21/2025 09:09:10 -05:00,08/21/2025 09:12:53 -05:00,23274.250000000,23288.000000000,2.80000,275.000000000,1,Long,08/21/2025 00:00:00 -05:00,00:03:43.1945460,
1769183627,NQZ5,12/10/2025 13:02:39 -06:00,12/10/2025 13:03:03 -06:00,25661.500000000,25634.750000000,2.80000,-535.000000000,1,Long,12/10/2025 00:00:00 -06:00,00:00:23.9823620,
1769274020,NQZ5,12/10/2025 13:03:17 -06:00,12/10/2025 13:07:13 -06:00,25645.750000000,25723.500000000,2.80000,-1555.000000000,1,Short,12/10/2025 00:00:00 -06:00,00:03:56.7780020,
1769561055,NQZ5,12/10/2025 13:07:16 -06:00,12/10/2025 13:26:34 -06:00,25729.000000000,25659.500000000,2.80000,-1390.000000000,1,Long,12/10/2025 00:00:00 -06:00,00:19:18.0638600,
1770302450,NQZ5,12/10/2025 13:29:08 -06:00,12/10/2025 14:13:23 -06:00,25646.500000000,25859.500000000,2.80000,4260.000000000,1,Long,12/10/2025 00:00:00 -06:00,00:44:15.1278620,
1775049140,NQZ5,12/11/2025 08:54:56 -06:00,12/11/2025 08:57:57 -06:00,25432.250000000,25417.500000000,2.80000,295.000000000,1,Short,12/11/2025 00:00:00 -06:00,00:03:01.2870070,
1779487773,NQZ5,12/11/2025 20:58:41 -06:00,12/11/2025 20:58:43 -06:00,25696.250000000,25697.000000000,2.80000,-15.000000000,1,Short,12/12/2025 00:00:00 -06:00,00:00:02.3217330,
1779488268,NQZ5,12/11/2025 20:58:47 -06:00,12/11/2025 20:58:57 -06:00,25695.500000000,25697.250000000,2.80000,-35.000000000,1,Short,12/12/2025 00:00:00 -06:00,00:00:09.6009130,
1779493853,NQZ5,12/11/2025 21:01:48 -06:00,12/11/2025 21:01:55 -06:00,25695.750000000,25694.500000000,2.80000,-25.000000000,1,Long,12/12/2025 00:00:00 -06:00,00:00:07.0850730,
1780381076,NQZ5,12/12/2025 03:08:54 -06:00,12/12/2025 03:30:51 -06:00,25637.500000000,25592.750000000,2.80000,895.000000000,1,Short,12/12/2025 00:00:00 -06:00,00:21:57.7015160,
1786095466,NQZ5,12/12/2025 11:56:59 -06:00,12/12/2025 14:31:37 -06:00,25285.750000000,25193.000000000,2.80000,-1855.000000000,1,Long,12/12/2025 00:00:00 -06:00,02:34:37.7112800,
1789308707,NQZ5,12/15/2025 08:32:15 -06:00,12/15/2025 08:32:38 -06:00,25392.250000000,25386.250000000,2.80000,-120.000000000,1,Long,12/15/2025 00:00:00 -06:00,00:00:23.1254020,
1789335500,NQZ5,12/15/2025 08:32:46 -06:00,12/15/2025 08:33:25 -06:00,25387.750000000,25362.750000000,2.80000,-500.000000000,1,Long,12/15/2025 00:00:00 -06:00,00:00:38.3776970,
1789604466,NQZ5,12/15/2025 08:33:27 -06:00,12/15/2025 08:40:04 -06:00,25362.000000000,25300.250000000,2.80000,1235.000000000,1,Short,12/15/2025 00:00:00 -06:00,00:06:36.7047240,
1796995900,NQH6,12/16/2025 07:26:26 -06:00,12/16/2025 07:27:40 -06:00,25299.500000000,25296.000000000,2.80000,-70.000000000,1,Long,12/16/2025 00:00:00 -06:00,00:01:14.8501590,
1796997253,NQH6,12/16/2025 07:28:08 -06:00,12/16/2025 07:28:13 -06:00,25300.750000000,25298.250000000,2.80000,-50.000000000,1,Long,12/16/2025 00:00:00 -06:00,00:00:04.5685250,
1797058548,MNQH6,12/16/2025 07:28:22 -06:00,12/16/2025 07:32:37 -06:00,25300.000000000,25370.500000000,0.74000,141.000000000,1,Long,12/16/2025 00:00:00 -06:00,00:04:15.2837620,
1797058549,MNQH6,12/16/2025 07:29:27 -06:00,12/16/2025 07:32:37 -06:00,25286.750000000,25370.500000000,0.74000,167.500000000,1,Long,12/16/2025 00:00:00 -06:00,00:03:10.5647190,
1797058550,MNQH6,12/16/2025 07:30:35 -06:00,12/16/2025 07:32:37 -06:00,25348.750000000,25370.500000000,0.74000,43.500000000,1,Long,12/16/2025 00:00:00 -06:00,00:02:02.4543520,
1797099134,MNQH6,12/16/2025 07:34:13 -06:00,12/16/2025 07:36:10 -06:00,25365.250000000,25334.000000000,2.22000,187.500000000,3,Short,12/16/2025 00:00:00 -06:00,00:01:56.6768570,
1797099135,MNQH6,12/16/2025 07:35:31 -06:00,12/16/2025 07:36:10 -06:00,25339.750000000,25334.000000000,2.22000,34.500000000,3,Short,12/16/2025 00:00:00 -06:00,00:00:38.5028200,
1797108946,MNQH6,12/16/2025 07:36:37 -06:00,12/16/2025 07:37:12 -06:00,25323.500000000,25328.250000000,2.22000,-28.500000000,3,Short,12/16/2025 00:00:00 -06:00,00:00:35.0780080,
1838644081,MESH6,12/26/2025 07:31:08 -06:00,12/26/2025 08:31:01 -06:00,6981.250000000,6980.500000000,3.70000,-18.750000000,5,Long,12/26/2025 00:00:00 -06:00,00:59:52.9084160,
1990927328,MNQH6,01/26/2026 10:01:36 -06:00,01/26/2026 10:02:55 -06:00,25889.000000000,25882.000000000,11.10000,-210.000000000,15,Long,01/26/2026 00:00:00 -06:00,00:01:19.3950800,
1990929597,MNQH6,01/26/2026 10:02:59 -06:00,01/26/2026 10:03:07 -06:00,25886.000000000,25882.250000000,11.10000,-112.500000000,15,Long,01/26/2026 00:00:00 -06:00,00:00:08.6880380,
1990933524,MNQH6,01/26/2026 10:03:11 -06:00,01/26/2026 10:03:19 -06:00,25883.750000000,25881.500000000,11.10000,-67.500000000,15,Long,01/26/2026 00:00:00 -06:00,00:00:07.8648230,
1990952983,MNQH6,01/26/2026 10:03:21 -06:00,01/26/2026 10:05:09 -06:00,25882.000000000,25886.500000000,11.10000,-135.000000000,15,Short,01/26/2026 00:00:00 -06:00,00:01:47.7122850,
1991045290,MNQH6,01/26/2026 10:11:23 -06:00,01/26/2026 10:12:47 -06:00,25885.500000000,25887.500000000,11.10000,60.000000000,15,Long,01/26/2026 00:00:00 -06:00,00:01:23.7776590,
